gene_id,gene_name,D13,D27,D33,S31,S44,S50,S52,S9
ENSMUSG00000000732,Icosl,773,114,661,617,203,239,289,827.9989999999999
ENSMUSG00000000738,Spg7,1251.0010000000002,1037,950,1343.0009999999997,1525.001,1321,1014.999,1035.0009999999997
ENSMUSG00000000739,Sult5a1,0,0,0,0,0,0,0,0
ENSMUSG00000000740,Rpl13,17997.212000000003,18798.641999999996,22884.969999999994,17063.963,23026.922000000002,21625.070000000003,15611.931,23467.424
ENSMUSG00000000743,Chmp1a,1692.999,1821,1906,1130,1538,1858,1544,1471.9989999999998
ENSMUSG00000000751,Rpa1,2252,1937.001,2551,1647,3581.999,2744.0009999999997,2161,2858
ENSMUSG00000000753,Serpinf1,150,0,138,329.001,59,0,27,130
ENSMUSG00000000759,Tubgcp3,1033,561,1411,886.999,1051.999,1707,1397.9999999999998,1021
ENSMUSG00000000766,Oprm1,11,0,0,0,0,0,0,0
ENSMUSG00000000776,Polr3d,183.00000000000003,110,327,237.001,174,345,189.00099999999998,233
ENSMUSG00000000782,Tcf7,36,0,101,0,25,16,16,32
ENSMUSG00000000787,Ddx3x,9919,7679,9159,7013,8109,9331,5976,8239
ENSMUSG00000000791,Il12rb1,48,0,29,0,53,0,37,25
ENSMUSG00000000792,Slc5a5,4,0,0,0,0,0,0,0
ENSMUSG00000000794,Kcnn3,0,0,0,0,0,20,0,0
ENSMUSG00000000804,Usp32,2434,2161,1529,2164,2406,1645,2601,1941.0000000000002
ENSMUSG00000000805,Car4,0,0,0,0,0,0,0,0
ENSMUSG00000000811,Txnrd3,65,63,103,43,314,31,43,98
ENSMUSG00000000817,Fasl,8,0,15,0,0,0,0,3
ENSMUSG00000000823,Zfp512b,506,499,340,353,610,420,569,238.00000000000003
ENSMUSG00000000826,Dnajc5,3591,1218.0009999999997,3334.0009999999997,2320.999,2294,2530.0009999999997,3410.999,3332.9999999999995
ENSMUSG00000000827,Tpd52l2,923.9999999999999,1015,1078.999,605.0000000000001,658,977,960,1085.0010000000002
ENSMUSG00000000838,Fmr1,1529.0010000000002,1261,1508.0000000000002,1366,2145.0009999999997,1680.001,2004,1320.9999999999998
ENSMUSG00000000861,Bcl11a,438.99999999999994,169,631,691.999,290,264,538,595
ENSMUSG00000000869,Il4,57,0,16,72,20,0,21,62
ENSMUSG00000000876,Pxmp4,480.782,672,458,364,730,382,486,514
ENSMUSG00000000881,Dlg3,184.001,442,164,203,656,601,345,293
ENSMUSG00000000884,Gnb1l,57.001000000000005,0,82,19,67,95,54,48
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,8,0,47,42,1,0,0,3
ENSMUSG00000000902,Smarcb1,872.0810000000001,1096,1249.0000000000002,1533.001,1492,821,1080,1425.999
ENSMUSG00000000903,Vpreb3,106,0,211,184,11,0,34,184
ENSMUSG00000000915,Hip1r,2177.215,1077.2269999999999,2462,2170.539,1400,1241.546,1803.567,2166
ENSMUSG00000000916,Nsun5,116,139,376.99999999999994,166,224.00100000000003,167,181,145
ENSMUSG00000000934,Top1mt,59,0,69,115,160,122,27,49
ENSMUSG00000000938,Hoxa10,0,0,0,30,0,0,0,4
ENSMUSG00000000942,Hoxa4,5,0,0,0,12,0,7,7
ENSMUSG00000000948,Gm38393,2,0,0,0,13,0,0,5
ENSMUSG00000000957,Mmp14,54,97,44,489,191,263,86,70
ENSMUSG00000000958,Slc7a7,287,75,159,153,163.999,280,171,464.99999999999994
ENSMUSG00000000959,Oxa1l,782.001,585,587,475,606,748,681,787
ENSMUSG00000000976,Heatr6,815,376,880,571,527,706,601,659
ENSMUSG00000000982,Ccl3,1690,1751,615,770,311,275,334,871
ENSMUSG00000000983,Wfdc18,14,0,23,0,0,0,0,24.024
ENSMUSG00000001014,Icam4,96,48,149.11499999999998,0,252,91,104,84
ENSMUSG00000001016,Ilf2,1726.999,720,2221.0009999999997,1063,1323.4519999999998,1658,1595.001,2103.9990000000003
ENSMUSG00000001017,Chtop,3057.9990000000003,3071.0009999999997,3299.999,2950,3419.001,2857,3123,2798.9999999999995
ENSMUSG00000001018,Snapin,531,595,384,541,441.99899999999997,457,566.001,376.001
ENSMUSG00000001020,S100a4,1529,506,1311,860,591,1166,750,2198
ENSMUSG00000001021,S100a3,13,0,3,29,0,24,0,20
ENSMUSG00000001023,S100a5,0,0,0,0,0,0,0,0
ENSMUSG00000001025,S100a6,6677,1750,7762,2546.001,4183,6915,3999,10742
ENSMUSG00000001027,Scn4a,43,0,37,40,1,0,0,41
ENSMUSG00000001029,Icam2,140.00099999999998,120,374.00000000000006,257,292,296,159,311
ENSMUSG00000001034,Mapk7,1009.999,265,764.999,817,760,774.0010000000001,845,842
ENSMUSG00000001036,Epn2,3,0,0,19,0,0,0,15
ENSMUSG00000001039,B9d1,0,0,0,0,0,22,0,10
ENSMUSG00000001052,Sec24b,1169.999,452.999,974.999,743,517.001,898,1048,1266
ENSMUSG00000001053,N4bp3,65,0,22,19,30,0,95,75
ENSMUSG00000001054,Rmnd5b,725.999,343,665,568,471,438,738.9999999999999,726
ENSMUSG00000001056,Nhp2,1227,1501,1557,1099,1731,1508,1202,1134
ENSMUSG00000001062,Vps9d1,608.999,171,488,385,330,520.999,550,535.9989999999999
ENSMUSG00000001065,Zfp276,1162,486,845,309,704.999,886,1113.999,928
ENSMUSG00000001076,C1ql4,0,0,0,0,0,0,0,0
ENSMUSG00000001082,Mfsd10,1231.9989999999998,1382,1391,773.001,1705.0010000000002,1452,1014.001,1235.001
ENSMUSG00000001089,Luzp1,106,0,107,104,132,136,120,135
ENSMUSG00000001095,Slc13a2,6,0,0,0,21,0,0,0
ENSMUSG00000001098,Kctd10,2107.934,1281,2243.9999999999995,1200,893,1526,1848,2205.999
ENSMUSG00000001100,Poldip2,488,609,654.999,667,715,680.001,475,641
ENSMUSG00000001103,Sebox,0,0,0,0,0,0,0,0
ENSMUSG00000001105,Ift20,975,1352.999,838,1154,1072,691.9989999999999,1158,835
ENSMUSG00000001119,Col6a1,29,0,39,163,47,0,70,14
ENSMUSG00000001120,Pcbp3,121,249,104,140,263,156,95,130
ENSMUSG00000001123,Lgals9,2939,3255,2986,2653,3603,3424,2890,3429
ENSMUSG00000001127,Araf,1221,867.9999999999999,1189.001,1209.001,1338.9990000000003,1323,1231,1128
ENSMUSG00000001128,Cfp,2567,787,3896,666,1240,2248,1592,3716
ENSMUSG00000001131,Timp1,7,0,21,231,0,0,0,0
ENSMUSG00000001134,Uxt,296.995,505,257.033,256,403,250,286,310
ENSMUSG00000001138,Cnnm3,380,375,356,288,368,335,258,266.001
ENSMUSG00000001143,Lman2l,709,455,684.001,436,479.999,989.001,1036,819
ENSMUSG00000001150,Mcm3ap,1640,1115,2151,845.0010000000001,1394.0010000000002,1164,1643,1727.999
ENSMUSG00000001151,Pcnt,1598,1005,1812,1246.9989999999998,1664,1292,1917,1423.999
ENSMUSG00000001155,Ftcd,0,0,0,0,0,0,0,0
ENSMUSG00000001156,Mxd1,7006,1184,13265,3578,2718,5274,6772,10863
ENSMUSG00000001157,Gmcl1,385,200,398,335,541,422,627,440
ENSMUSG00000001158,Snrnp27,688,749,657,821,830,722,480,543
ENSMUSG00000001166,Oas1c,47,0,58,0,101,18,94,34
ENSMUSG00000001168,Oas1h,0,0,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,1251,1525,975,1052.999,1982,1267,846.001,816.0000000000001
ENSMUSG00000001175,Calm1,11274,9837,11741.001000000002,9670.999,11079,10920,9732,13759
ENSMUSG00000001211,Agpat3,1455,2616.001,804.9990000000001,1965.9999999999998,3079.9990000000003,1723,2049.9999999999995,1174.0000000000002
ENSMUSG00000001225,Slc26a3,16,0,31,0,0,0,12,7
ENSMUSG00000001227,Sema6b,99,0,742,0,136,239,82,116
ENSMUSG00000001228,Uhrf1,3618,2078,4126,2551,3654,4621.001,2908,3695.9999999999995
ENSMUSG00000001229,Dpp9,1403.001,1092,1789,780,1376,1435,1045,1484.999
ENSMUSG00000001240,Ramp2,0,0,0,13,0,0,46,14.242999999999999
ENSMUSG00000001247,Lsr,46,0,88,40,67,114,35,81
ENSMUSG00000001248,Gramd1a,2388.9999999999995,765,2684.9990000000003,1937.0000000000002,1446.9999999999998,1629.999,2905,2600
ENSMUSG00000001249,Hpn,49,0,35,25,28,61,0,10
ENSMUSG00000001260,Gabrg1,0,0,1,0,0,0,0,0
ENSMUSG00000001270,Ckb,456,269,181,660,298,21,363,419
ENSMUSG00000001280,Sp1,2477,540,2219,1711,1420,1285,2171,2203
ENSMUSG00000001281,Itgb7,2521,784,2442,1497,949,1744,2112,3692.999
ENSMUSG00000001285,Myg1,528,299.233,659.9449999999999,704.999,429.59299999999996,634,582,535.584
ENSMUSG00000001288,Rarg,953,1570,582,1549,1239,400,1429,945
ENSMUSG00000001289,Pfdn5,3011.9999999999995,2203.766,3102.056,2584,2125.4069999999997,2710,2762.0009999999997,2844.2419999999997
ENSMUSG00000001300,Efnb2,21,0,11,33,1,45,0,20
ENSMUSG00000001305,Rrp15,383,523,436,324,585,361,229,300
ENSMUSG00000001313,Rnd2,8,29,40,0,49,34,0,11
ENSMUSG00000001323,Srr,139.001,279.999,94,160,188,134,136,132
ENSMUSG00000001333,Sync,0,0,0,0,0,0,0,0
ENSMUSG00000001334,Fndc5,0,0,0,0,0,0,0,0
ENSMUSG00000001348,Acp5,176,0,390,82,62,176,147,262
ENSMUSG00000001349,Cnn1,0,0,13,0,0,0,0,0
ENSMUSG00000001366,Fbxo9,1318.9999999999998,1809,1077.999,1497,2095,1340,1222,941
ENSMUSG00000001376,Vps50,465.999,410,482,316,568,325,316,414.999
ENSMUSG00000001380,Hars,1312,884,1495,1442,1207,1541,1136,1115
ENSMUSG00000001383,Zmat2,1544,1729,1992,1492,1470,1968,1285,1360
ENSMUSG00000001403,Ube2c,2059,1657,2846,1471,2247,2289,2017,2503
ENSMUSG00000001415,Smg5,1980.0000000000002,1464.999,2428.998,2073,2416.001,2294,1653.0000000000002,2107.0000000000005
ENSMUSG00000001416,Cct3,2664.999,4053.9999999999995,3267.001,3103,3844.9990000000003,3042,2783.0009999999997,3581.9999999999995
ENSMUSG00000001418,Glmp,1145,849.9999999999999,1068.001,922.001,872.999,993,1257,1175.173
ENSMUSG00000001419,Mef2d,3010,1279,2020,2625,1119,1280.9999999999998,2735.917,2621.999
ENSMUSG00000001420,Tmem79,26,0,16,0,0,36,42,15
ENSMUSG00000001424,Snd1,4003,4501,4680,4537,5721,4606,3994.0000000000005,4853
ENSMUSG00000001435,Col18a1,5,0,11,231.99899999999997,93,129,20,0
ENSMUSG00000001436,Slc19a1,110,121,381,79,285,189,217,152
ENSMUSG00000001440,Kpnb1,6815,6993,7056.0109999999995,6270,8777,6962.001,6568,7000
ENSMUSG00000001441,Npepps,2592,994,3416,1297.9999999999998,1150,2112,1936,2440.9999999999995
ENSMUSG00000001444,Tbx21,0,0,26,42,0,0,0,0
ENSMUSG00000001445,Mrpl10,556,298,698,231,327,714,655,687
ENSMUSG00000001467,Cyp51,438,77,281,376,1152,741,759,772
ENSMUSG00000001472,Tcf25,4654,3954,4249.000000000001,3961.0009999999997,3864,3508.001,4173,4046.999
ENSMUSG00000001473,Tubb6,267,172,218,562,246,29,134,305
ENSMUSG00000001482,Def8,1289,1044,1458,471,1423.0000000000002,1092,1029,1505.0009999999997
ENSMUSG00000001493,Meox1,0,0,0,0,0,17,0,0
ENSMUSG00000001494,Sost,0,0,0,0,0,0,0,0
ENSMUSG00000001496,Nkx2-1,4,8,0,0,2,0,0,0
ENSMUSG00000001497,Pax9,0,0,0,35,0,0,0,0
ENSMUSG00000001504,Irx2,0,0,0,0,0,0,0,0
ENSMUSG00000001506,Col1a1,169,0,56,3412,92,62,163,123
ENSMUSG00000001507,Itga3,0,0,0,266,0,0,0,1
ENSMUSG00000001508,Sgca,0,0,0,0,0,0,0,0
ENSMUSG00000001510,Dlx3,0,0,0,0,0,0,0,0
ENSMUSG00000001517,Foxm1,1257.999,699,1398.001,879,907,1317,1555.0000000000002,1349.9999999999998
ENSMUSG00000001518,Itfg2,315.00100000000003,109,157,128,144.999,238.99900000000002,243,201
ENSMUSG00000001520,Nrip2,0,0,0,0,0,26,0,0
ENSMUSG00000001521,Tulp3,86,147,82.278,60,36,84,52,73
ENSMUSG00000001524,Gtf2h4,206,41,283,231,387,221,191,251
ENSMUSG00000001525,Tubb5,13575,9203,16646,12038,12212,12000,12066,19680
ENSMUSG00000001542,Ell2,569,169,385,728,196,282,602,616
ENSMUSG00000001552,Jup,415.00100000000003,340,238,364,586,325,564,510
ENSMUSG00000001555,Fkbp10,19,109,0,135,81,0,44,38
ENSMUSG00000001558,Klhl10,0,0,0,0,0,0,0,0
ENSMUSG00000001566,Mnx1,0,0,0,0,0,0,0,0
ENSMUSG00000001569,Nom1,808,579,505,906,322,630,567,578.8439999999999
ENSMUSG00000001576,Ergic1,870,1023,754,984,1694,847,738,818.001
ENSMUSG00000001583,Tnk1,0,0,6,0,0,0,0,7
ENSMUSG00000001588,Acap1,3344,703,4239.001,1647,1809,2725,2733.0009999999997,3451.999
ENSMUSG00000001604,Tcea3,10,0,0,0,0,0,0,13
ENSMUSG00000001622,Csn3,0,0,0,0,0,0,0,0
ENSMUSG00000001627,Ifrd1,3422.0009999999997,1375.001,2490,2632,1118.9999999999998,1252,3635.9990000000003,3605.0010000000007
ENSMUSG00000001630,Stk38l,275,68,170,255,229,188,256,155
ENSMUSG00000001632,Brpf1,2874.0009999999997,607,2417,1387,978,1921.001,1788,2369.999
ENSMUSG00000001642,Akr1b3,1523.9999999999998,2128.989,1628.9889999999998,1218.146,2242,2350,1749,1831
ENSMUSG00000001655,Hoxc13,0,0,0,0,0,0,0,0
ENSMUSG00000001656,Hoxc11,0,0,0,0,0,0,0,0
ENSMUSG00000001657,Hoxc8,0,0,0,0,0,0,0,10
ENSMUSG00000001661,Hoxc6,0,0,0,0,24,0,0,0
ENSMUSG00000001663,Gstt1,50,49,51,29,165,158,176,43
ENSMUSG00000001665,Gstt3,49,0,24,15,85,92.00000000000001,81,81
ENSMUSG00000001666,Ddt,267,151,226,223,173,160,128,221
ENSMUSG00000001670,Tat,0,0,0,0,0,0,0,0
ENSMUSG00000001672,Marveld3,0,0,0,0,0,0,0,0
ENSMUSG00000001674,Ddx18,736.66,1144,1101,708,580,879,585,849
ENSMUSG00000001687,Ubl3,1394,601,1418.999,1112.9989999999998,809.001,971,1331,2191.9990000000003
ENSMUSG00000001700,Gramd3,32,0,158,80,40,26,83.00099999999999,116
ENSMUSG00000001707,Eef1e1,418,527,495,343,541,558,457,357
ENSMUSG00000001729,Akt1,4585,4605.999000000001,4498.999999999999,3784,4615.999000000001,4893,3701.9990000000007,5047.000000000001
ENSMUSG00000001739,Cldn15,676,171,1314,221,397,803,345,826
ENSMUSG00000001741,Il16,1363,134,2498,1022,246,509,973,1518
ENSMUSG00000001750,Tcirg1,3636.0010000000007,876,3875,1666,1817,3542.001,3390.9990000000007,3569.001
ENSMUSG00000001751,Naglu,307,350,203,333,183,148,138,177
ENSMUSG00000001755,Coasy,352,185,547,477,490,369,350,443.99999999999994
ENSMUSG00000001761,Smo,132,247,126,43,248,297,25,203
ENSMUSG00000001763,Tspan33,157,58,759,528,148,31,68,159
ENSMUSG00000001767,Crnkl1,1190,552,905,859,539,618,842,1047
ENSMUSG00000001768,Rin2,556,0,656,421,64,205,613,359
ENSMUSG00000001773,Folh1,0,0,0,0,0,0,0,0
ENSMUSG00000001774,Chordc1,712,968.001,861,753.999,1056,1137,1603,1249.1109999999999
ENSMUSG00000001783,Rtcb,2092,1872,2698,2035,2565,2565,1987,2378
ENSMUSG00000001785,Pwp1,715,233,1116,810,610,764,500,1034
ENSMUSG00000001786,Fbxo7,356,295,629.001,447,453,226,333,374
ENSMUSG00000001794,Capns1,5119.001,3901.9999999999995,5358.999000000001,4070.0000000000005,4787.999999999999,5284,4063,5999
ENSMUSG00000001802,Lrp3,0,0,5,0,0,0,0,3
ENSMUSG00000001804,Dsg4,0,0,0,0,0,0,0,0
ENSMUSG00000001815,Evx2,0,0,0,0,0,0,0,0
ENSMUSG00000001819,Hoxd13,0,0,0,0,0,0,0,0
ENSMUSG00000001823,Hoxd12,0,0,0,0,0,0,0,0
ENSMUSG00000001827,Folr1,0,0,0,0,0,0,0,3
ENSMUSG00000001829,Clpb,547.001,673,360.99899999999997,347,772,503.99999999999994,341.00100000000003,460
ENSMUSG00000001833,Septin7,3929.993,3853.0009999999997,3686,3429.001,3699.0000000000005,3519,2924,3918.999
ENSMUSG00000001844,Zdhhc4,456,632,399.998,407,607.9999999999999,525,450.99899999999997,473.00000000000006
ENSMUSG00000001847,Rac1,8670,11210.960000000001,6227,9511.973999999998,9334.952,7531,9884.912,7374.999999999999
ENSMUSG00000001855,Nup214,984.0009999999999,549,987.0000000000001,811,1049.999,758,914,1218
ENSMUSG00000001864,Aif1l,0,0,0,0,0,0,0,6
ENSMUSG00000001865,Cpa3,703,369,714,677,329,221,318,506
ENSMUSG00000001870,Ltbp1,2530,4396,1142.999,3358.9990000000003,4725.999000000001,2365.9990000000003,2601,1360
ENSMUSG00000001891,Ugp2,2095.0009999999997,896,1890,792,1017,1196,1349,2338
ENSMUSG00000001901,Kcnh6,0,0,0,0,0,0,0,0
ENSMUSG00000001909,Trmt1,729.9989999999999,649,883.9990000000001,564.0000000000001,1087.999,945.0010000000001,826,824
ENSMUSG00000001910,Nacc1,1509,1445,1618,1648.747,1651,1576,1631.0000000000002,1708
ENSMUSG00000001911,Nfix,428,488,381.00100000000003,356,980,820,478,605.9999999999999
ENSMUSG00000001918,Slc1a5,1532,1510.999,2694.9999999999995,1081,1906,1767,1269,1399.001
ENSMUSG00000001924,Uba1,8459.001,8082,8446,8208,9063,7230,7516.999,10260.258000000002
ENSMUSG00000001930,Vwf,20389.999999999996,33149,6755.999,25056.999999999993,42480.999,20232,25727.000000000004,12752.970999999998
